,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,11.460,3.740,1.820,19.500,107.000,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562.000
1,12.530,5.510,2.640,25.000,96.000,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515.000
2,13.620,4.950,2.350,20.000,92.000,2.000,0.800,0.470,1.020,4.400,0.910,2.050,550.000
3,13.830,1.570,2.620,20.000,115.000,2.950,3.400,0.400,1.720,6.600,1.130,2.570,1130.000
4,13.840,4.120,2.380,19.500,89.000,1.800,0.830,0.480,1.560,9.010,0.570,1.640,480.000
5,13.640,3.100,2.560,15.200,116.000,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845.000
6,13.940,1.730,2.270,17.400,108.000,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260.000
7,11.640,2.060,2.460,21.600,84.000,1.950,1.690,0.480,1.350,2.800,1.000,2.750,680.000
8,11.030,1.510,2.200,21.500,85.000,2.460,2.170,0.520,2.010,1.900,1.710,2.870,407.000
9,13.280,1.640,2.840,15.500,110.000,2.600,2.680,0.340,1.360,4.600,1.090,2.780,880.000
10,12.340,2.450,2.460,21.000,98.000,2.560,2.110,0.340,1.310,2.800,0.800,3.380,438.000
11,13.240,2.590,2.870,21.000,118.000,2.800,2.690,0.390,1.820,4.320,1.040,2.930,735.000
12,13.400,3.910,2.480,23.000,102.000,1.800,0.750,0.430,1.410,7.300,0.700,1.560,750.000
13,13.510,1.800,2.650,19.000,110.000,2.350,2.530,0.290,1.540,4.200,1.100,2.870,1095.000
14,14.380,1.870,2.380,12.000,102.000,3.300,3.640,0.290,2.960,7.500,1.200,3.000,1547.000
15,13.880,1.890,2.590,15.000,101.000,3.250,3.560,0.170,1.700,5.430,0.880,3.560,1095.000
16,14.120,1.480,2.320,16.800,95.000,2.200,2.430,0.260,1.570,5.000,1.170,2.820,1280.000
17,13.110,1.900,2.750,25.500,116.000,2.200,1.280,0.260,1.560,7.100,0.610,1.330,425.000
18,13.520,3.170,2.720,23.500,97.000,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520.000
19,12.990,1.670,2.600,30.000,139.000,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985.000
20,13.160,3.570,2.150,21.000,102.000,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830.000
21,13.880,5.040,2.230,20.000,80.000,0.980,0.340,0.400,0.680,4.900,0.580,1.330,415.000
22,12.250,4.720,2.540,21.000,89.000,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720.000
23,13.710,1.860,2.360,16.600,101.000,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035.000
